epoch	train_loss	valid_loss	mse	mae	time
374	0.054146	0.063869	0.063869	0.137414	02:55
375	0.053694	0.064394	0.064394	0.135747	02:54
376	0.052732	0.068326	0.068326	0.133579	02:55
377	0.051078	0.061577	0.061577	0.130369	02:55
378	0.050727	0.067600	0.067600	0.140358	02:54
379	0.051765	0.063162	0.063162	0.128260	02:56
380	0.054467	0.070450	0.070450	0.144833	02:54
381	0.053723	0.060455	0.060455	0.132370	02:55
382	0.050916	0.062256	0.062256	0.145958	02:55
383	0.048491	0.061976	0.061976	0.133080	02:55
384	0.049601	0.061047	0.061047	0.128469	02:57
385	0.051243	0.066507	0.066507	0.141849	02:55
386	0.049131	0.061390	0.061390	0.132320	02:54
387	0.050365	0.064591	0.064591	0.135670	02:57
388	0.053739	0.066986	0.066986	0.141510	02:56
389	0.053344	0.063590	0.063590	0.136706	02:54
390	0.049815	0.061448	0.061448	0.132626	02:55
391	0.050871	0.059037	0.059037	0.131908	02:55
392	0.050292	0.063334	0.063334	0.134289	02:55
393	0.051498	0.062435	0.062435	0.133295	02:55
394	0.052253	0.066610	0.066610	0.141208	02:55
395	0.050526	0.066807	0.066807	0.138658	02:56
396	0.050156	0.065423	0.065423	0.134775	02:54
397	0.052670	0.064789	0.064789	0.139356	02:55
398	0.052082	0.066910	0.066910	0.144309	02:55
399	0.054185	0.063543	0.063543	0.142485	02:55
400	0.053236	0.064375	0.064375	0.139615	02:55
401	0.051424	0.064136	0.064136	0.131770	02:54
402	0.050517	0.067626	0.067626	0.141705	02:54
403	0.049824	0.061619	0.061619	0.132741	02:54
404	0.050942	0.068996	0.068996	0.137209	02:58
405	0.049445	0.066832	0.066832	0.140586	02:54
406	0.049252	0.059791	0.059791	0.130950	02:54
407	0.050875	0.060254	0.060254	0.134930	02:54
408	0.053355	0.063152	0.063152	0.137799	02:57
409	0.052873	0.067571	0.067571	0.138965	02:55
410	0.050950	0.061657	0.061657	0.131776	02:57
411	0.051841	0.066655	0.066655	0.141115	02:54
412	0.052746	0.062326	0.062326	0.128413	02:55
413	0.058192	0.062606	0.062606	0.139501	02:55
414	0.054913	0.063957	0.063957	0.134902	02:55
415	0.051656	0.063599	0.063599	0.132350	02:56
416	0.050906	0.066780	0.066780	0.139641	02:55
417	0.051601	0.065190	0.065190	0.138465	02:55
418	0.049256	0.065469	0.065469	0.136763	02:56
419	0.047929	0.058249	0.058249	0.131073	02:56
420	0.048082	0.061685	0.061685	0.130305	02:56
421	0.051477	0.062153	0.062153	0.141729	02:55
422	0.052786	0.058458	0.058458	0.130497	02:55
423	0.050817	0.065975	0.065975	0.144430	02:55
424	0.049953	0.065424	0.065424	0.134323	02:55
425	0.050022	0.065099	0.065099	0.142438	03:02
426	0.049726	0.061458	0.061458	0.134510	02:55
427	0.049415	0.056835	0.056835	0.129116	02:55
428	0.049979	0.060650	0.060650	0.133390	02:57
429	0.049998	0.063744	0.063744	0.138612	02:55
430	0.050478	0.059374	0.059374	0.131490	02:55
431	0.048800	0.060963	0.060963	0.132439	02:55
432	0.048211	0.064800	0.064800	0.132608	02:55
433	0.050142	0.067701	0.067701	0.138157	02:55
434	0.049681	0.063776	0.063776	0.138883	02:55
435	0.051133	0.064347	0.064347	0.134787	02:56
436	0.051378	0.064245	0.064245	0.132705	02:55
437	0.050426	0.063996	0.063996	0.143864	02:55
438	0.051290	0.059997	0.059997	0.129707	02:56
439	0.052057	0.062297	0.062297	0.137588	02:55
440	0.049803	0.061872	0.061872	0.129118	02:55
441	0.051780	0.061081	0.061081	0.128924	03:05
442	0.050990	0.062385	0.062385	0.131013	02:55
443	0.049844	0.066040	0.066040	0.139330	02:57
444	0.048618	0.061222	0.061222	0.134343	02:56
445	0.046807	0.063652	0.063652	0.140159	02:57
446	0.048887	0.061136	0.061136	0.137843	02:55
447	0.051256	0.066063	0.066063	0.132899	02:55
448	0.050225	0.065314	0.065314	0.138473	03:16
449	0.050907	0.060619	0.060619	0.135026	03:08
450	0.050998	0.062735	0.062735	0.134301	03:26
451	0.056866	0.059693	0.059693	0.134471	02:59
452	0.058935	0.067822	0.067822	0.143858	02:53
453	0.059350	0.068718	0.068718	0.144379	02:54
454	0.054913	0.060763	0.060763	0.130785	02:53
455	0.050587	0.062515	0.062515	0.131247	02:53
456	0.049822	0.064945	0.064945	0.139147	02:53
457	0.051630	0.059801	0.059801	0.129406	02:54
458	0.052739	0.067386	0.067386	0.133579	02:54
459	0.056153	0.062253	0.062253	0.131513	02:53
460	0.058680	0.059194	0.059194	0.131810	02:54
461	0.056530	0.064327	0.064327	0.132840	02:53
462	0.055722	0.062783	0.062783	0.135174	02:54
463	0.055306	0.065676	0.065676	0.142646	02:53
464	0.052344	0.064989	0.064989	0.141077	02:55
465	0.056586	0.062332	0.062332	0.133541	02:56
466	0.050955	0.062449	0.062449	0.132316	02:53
467	0.051626	0.060679	0.060679	0.129155	02:53
468	0.049908	0.066346	0.066346	0.136621	02:53
469	0.052471	0.066085	0.066085	0.138745	02:57
470	0.051567	0.060746	0.060746	0.125872	02:53
471	0.055005	0.063015	0.063015	0.131908	02:59
472	0.056108	0.066012	0.066012	0.133843	02:53
473	0.052141	0.058532	0.058532	0.129669	02:53
474	0.051456	0.064100	0.064100	0.129582	02:53
475	0.052915	0.064121	0.064121	0.139153	02:53
476	0.054518	0.056593	0.056593	0.123891	02:54
477	0.049185	0.063188	0.063188	0.128179	02:54
478	0.047654	0.069105	0.069105	0.133797	02:54
479	0.048734	0.061494	0.061494	0.131752	02:53
480	0.049567	0.066475	0.066475	0.142618	02:54
481	0.049531	0.059178	0.059178	0.126348	02:54
482	0.049982	0.063979	0.063979	0.132928	02:54
483	0.050669	0.059178	0.059178	0.127459	02:53
484	0.048528	0.064687	0.064687	0.133895	02:57
485	0.051012	0.064377	0.064377	0.142830	02:59
486	0.048622	0.059582	0.059582	0.129120	03:01
487	0.048144	0.059493	0.059493	0.132577	02:58
488	0.047712	0.060096	0.060096	0.131566	02:58
489	0.050277	0.067178	0.067178	0.135210	03:00
490	0.051103	0.062110	0.062110	0.130235	02:58
491	0.053036	0.060840	0.060840	0.129604	02:58
492	0.052120	0.065328	0.065328	0.138201	02:58
493	0.049877	0.060223	0.060223	0.129819	02:57
494	0.050295	0.061176	0.061176	0.131980	02:58
495	0.057161	0.063280	0.063280	0.137152	02:58
496	0.051923	0.065068	0.065068	0.137891	02:58
497	0.056416	0.061499	0.061499	0.135215	02:58
498	0.053248	0.061725	0.061725	0.133668	02:57
499	0.054016	0.065184	0.065184	0.134133	02:58
